Year,Manufacturer,Region,MilesDriven,FuelType,SellerType,TransmissionType,PrevOwnerCount,SeatCount,MPG,Power(bhp),EnginePower(CC),SellingPrice($)
2018,8,3,19759.5978,1,1,0,1,5,40.01,188.0,1968,3975000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2011,11,1,27029.6385,0,0,1,2,5,42.48,75.0,1198,200000
2015,3,2,39146.373,1,0,1,1,5,53.56,98.59,1498,600000
2014,1,1,34796.776,0,0,1,1,5,40.93,117.3,1497,650000
2018,3,2,11868.1861,0,0,1,1,5,44.69,94.68,1194,700000
2013,4,2,29089.483365,1,0,1,2,5,51.98,76.9,1248,420000
2011,11,1,37282.26,0,0,1,2,5,42.48,75.0,1198,300000
2010,2,1,207537.914,1,0,1,1,7,30.11,102.0,2494,450000
2011,3,2,49709.68,1,0,1,2,5,47.04,68.0,1399,200000
2008,1,1,37282.26,0,0,0,3,5,47.04,108.5,1339,250000
2015,11,1,37282.26,1,0,1,3,5,48.1,83.8,1461,480000
2012,1,1,89496.06513,0,0,1,1,5,30.11,177.6,2354,600000
2014,1,1,124274.2,1,0,1,1,5,59.04,98.6,1498,819999
2014,9,3,43495.97,0,0,1,2,5,35.38,103.2,1598,500000
2008,4,2,55923.39,1,0,1,4,5,38.86,123.7,1991,210000
2016,9,3,60272.987,1,0,0,1,5,39.89,138.03,1968,1350000
2016,9,3,37282.26,1,0,0,1,5,52.1,108.6,1498,1000000
2018,2,1,7953.5488000000005,0,0,0,1,5,41.87,105.5,1496,1080000
2015,14,3,12427.42,1,0,1,1,5,47.98,91.7,1248,700000
2018,9,3,10563.307,0,0,1,1,5,44.17,75.0,999,678000
2014,2,1,74564.52,1,0,1,2,5,55.49,67.04,1364,400000
2017,11,1,34175.405,1,0,0,1,5,46.13,108.5,1461,850000
2017,3,2,37282.26,1,0,1,1,5,53.56,98.59,1498,850000
2015,1,1,21747.985,0,0,1,1,7,40.69,117.3,1497,500000
2014,11,1,74564.52,1,0,1,2,5,44.71,108.5,1461,525000
2012,4,2,50952.422,1,0,1,3,5,40.69,163.7,1998,495000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2010,1,1,37282.26,0,0,0,2,5,39.52,118.0,1497,321000
2017,2,1,31068.55,0,0,1,1,5,41.66,78.9,1197,585000
2011,3,2,43495.97,1,0,1,1,5,47.04,68.0,1399,225000
2017,1,1,43495.97,1,0,1,1,5,60.69,98.6,1498,500000
2017,9,3,32311.292,1,0,1,1,5,50.95,108.62,1498,555000
2017,9,3,32311.292,1,0,1,1,5,50.95,108.62,1498,560000
2017,2,1,31068.55,1,0,0,1,7,35.38,174.5,2755,2950000
2017,1,1,18641.13,0,0,1,1,5,41.16,88.7,1199,720000
2011,7,1,74564.52,1,0,1,2,6,24.7,116.9,2835,625000
2012,2,1,90098.795,1,0,1,2,8,30.55,100.0,2494,600000
2016,3,2,49709.68,1,0,1,1,5,60.76,99.0,1498,377000
2011,2,1,104390.328,1,0,1,2,8,30.11,102.0,2494,550000
2010,4,2,74564.52,1,0,1,3,5,43.04,147.9,1991,270000
2016,2,1,90098.795,1,0,1,2,5,55.49,67.05,1364,570000
2011,3,2,55923.39,1,0,1,2,5,47.04,68.0,1399,225000
2018,5,2,49709.68,1,0,1,1,5,40.22,170.0,1956,1675000
2019,3,2,20505.243,0,1,1,1,5,45.63,94.93,1194,800000
2014,4,2,8388.5085,0,0,1,1,5,42.81,82.4,1199,450000
2015,1,1,18641.13,0,0,1,1,5,40.93,117.3,1497,700000
2016,3,2,45360.083,1,0,1,1,5,60.76,99.0,1498,459999
2011,4,2,25476.211,0,0,1,1,5,42.34,62.0,995,169000
2013,9,3,31068.55,0,0,1,4,5,38.74,73.9,1198,350000
2014,3,2,70355.352846,1,1,1,1,5,46.29,67.0,1399,350000
2013,3,2,55923.39,1,0,1,2,5,47.04,68.1,1399,310000
2011,4,2,54680.648,1,0,1,3,5,38.86,123.7,1991,290000
2014,2,1,134837.507,1,0,1,2,7,30.55,100.6,2494,869999
2014,4,2,86370.569,1,0,1,2,8,42.81,73.8,1248,190000
2014,4,2,47224.196,1,0,1,2,5,59.84,56.3,936,170000
2012,4,2,24854.84,0,0,1,2,5,38.1,62.1,995,125000
2011,4,2,68350.81,0,0,1,2,5,42.34,62.0,995,130000
2005,6,3,74567.626855,1,0,0,2,5,25.87,198.5,2987,800000
2018,2,1,31068.55,1,0,1,1,7,33.49,174.5,2755,3200000
2011,3,2,58078.304628,1,0,0,2,7,26.81,153.86,2953,975000
2010,9,3,49709.68,0,0,1,2,5,32.93,102.0,1595,225000
2018,3,2,7456.452,1,0,0,1,7,25.66,197.0,3198,3250000
2019,1,1,2796.1695,0,0,1,1,5,45.87,88.76,1199,700000
2018,2,1,37282.26,1,0,0,1,7,35.38,174.5,2755,3200000
2015,3,2,24854.84,0,0,0,1,5,40.01,110.4,1499,416000
2016,1,1,40389.115,0,0,1,1,5,41.87,117.3,1497,773000
2014,11,1,49709.68,0,0,0,2,5,26.04,179.5,2496,600000
2010,4,2,39146.373,0,0,1,1,5,43.75,79.4,1199,250000
2019,1,1,809.646413,0,1,1,1,5,41.87,86.7,1198,690000
2018,8,3,19759.5978,1,1,0,1,5,40.01,188.0,1968,3975000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2018,3,2,3728.847371,0,1,1,1,5,37.4,120.69,1496,640000
2017,3,2,15534.275,0,0,1,1,5,39.99,121.31,1497,889000
2008,1,1,74564.52,0,0,1,2,5,41.63,78.0,1497,250000
2010,4,2,83885.085,1,0,1,3,5,43.04,147.9,1991,250000
2013,9,3,46602.825,1,0,1,2,5,51.91,73.9,1199,440000
2005,2,1,114953.635,1,0,1,2,7,26.81,100.6,2494,300000
2015,11,1,44562.864007000004,0,0,0,2,5,45.49,76.0,1198,300000
2012,3,2,55923.39,0,0,1,2,5,35.99,99.6,1596,256000
2015,2,1,74564.52,1,0,1,2,7,29.52,168.5,2982,1888000
2009,1,1,24854.84,0,0,0,3,5,30.34,130.0,1799,280000
2016,3,2,74564.52,1,0,0,2,7,25.66,197.0,3198,2280000
2012,11,1,43495.97,1,0,1,2,5,50.9,84.8,1461,295000
2015,11,1,49709.68,1,0,1,2,5,48.1,83.8,1461,700000
2012,3,2,24854.84,1,0,1,1,5,47.04,68.0,1399,250000
2014,1,1,62137.1,1,0,1,2,5,60.69,98.6,1498,420000
2012,11,1,43495.97,0,0,1,2,5,39.87,97.7,1498,320000
2017,1,1,17398.388,0,0,1,1,5,41.87,117.3,1497,860000
2017,3,2,70214.923,1,0,1,1,5,60.76,99.0,1498,430000
2011,3,2,62137.1,1,0,1,1,5,47.04,68.0,1399,220000
2011,4,2,43495.97,1,0,1,4,5,59.84,57.6,936,140000
2015,2,1,31068.55,0,0,1,1,5,33.59,138.03,1798,1100000
2013,13,3,37282.26,1,0,0,1,5,38.48,187.7,2179,2450000
2017,9,3,21126.614,1,0,0,1,5,51.75,108.495,1498,625000
2004,1,1,68350.81,0,0,1,3,5,30.11,100.0,1493,198000
2012,1,1,62137.1,0,0,1,2,5,39.52,116.3,1497,540000
2017,8,3,13670.162,1,1,0,1,5,37.0,174.33,1968,2825000
2020,1,1,3417.5405,1,1,1,1,5,63.04,118.0,1597,2125000
2018,10,3,11184.678,1,1,0,1,5,46.15,190.0,1998,3350000
2018,2,1,12427.42,1,1,0,1,8,26.72,171.5,2755,1800000
2015,3,2,65243.955,1,1,1,1,5,60.76,99.0,1498,365000
2018,6,3,28583.066,1,1,1,1,5,37.16,170.0,2148,2950000
2017,10,3,8489.791973,1,1,0,1,5,53.37,190.0,1995,3200000
2019,9,3,1242.742,0,1,1,1,5,38.1,74.0,1199,635000
2015,1,1,49709.68,1,0,1,1,5,61.16,98.6,1498,650000
2011,1,1,49709.68,0,0,1,2,5,37.63,90.0,1198,350000
2012,3,2,55923.39,1,0,1,1,5,47.04,68.0,1399,300000
2011,2,1,233014.125,1,0,1,1,8,30.11,102.0,2494,650000
2014,9,3,49709.68,1,0,1,2,5,35.54,103.6,1598,425000
2017,2,1,3106.855,1,0,1,1,5,50.41,86.79,1364,1594000
2014,4,2,31068.55,0,0,1,1,5,42.81,82.4,1199,300000
2018,3,2,17162.26702,1,1,1,1,5,53.56,98.59,1498,950000
2012,11,1,31068.55,0,0,1,1,5,39.87,97.7,1498,350000
2018,1,1,4846.6938,0,0,1,1,5,41.16,88.7,1199,850000
2011,3,2,42253.228,1,0,1,1,7,30.81,141.0,2499,950000
2015,3,2,43495.97,0,0,1,1,5,42.71,86.8,1196,450000
2016,3,2,88980.3272,1,0,1,1,5,60.76,99.0,1498,500000
2017,5,2,37282.26,1,0,1,1,5,40.22,170.0,1956,1689999
2012,11,1,74564.52,1,0,1,1,5,54.29,63.1,1461,204999
2012,3,2,105633.07,1,0,1,1,7,30.81,141.0,2499,551000
2015,4,2,49709.68,1,0,1,2,9,31.94,72.4,2499,600000
2011,4,2,49709.68,0,0,1,1,5,42.34,62.0,995,150000
2014,9,3,55923.39,1,0,0,2,5,49.89,103.2,1498,411000
2012,10,3,86991.94,1,0,0,2,5,44.41,184.0,1995,1300000
2013,10,3,86991.94,1,0,0,2,5,44.41,184.0,1995,1300000
2014,9,3,55923.39,1,0,0,2,5,49.89,103.2,1498,411000
2012,10,3,86991.94,1,0,0,2,5,44.41,184.0,1995,1300000
2013,10,3,86991.94,1,0,0,2,5,44.41,184.0,1995,1300000
2016,11,1,21747.985,1,0,1,1,5,48.1,83.8,1461,750000
2015,11,1,21747.985,1,0,1,1,5,48.1,83.8,1461,800000
2016,11,1,22369.356,1,0,1,1,5,44.71,108.5,1461,800000
2008,4,2,74564.52,1,0,1,2,5,38.86,123.7,1991,225000
2015,14,3,59030.245,1,0,1,3,5,49.87,75.0,1248,300000
2017,8,3,43495.97,1,0,0,1,5,47.94,143.0,1968,2600000
2012,2,1,98797.989,1,0,1,2,7,30.11,102.0,2494,725000
2010,1,1,68350.81,0,0,1,3,5,39.99,118.0,1497,350000
2009,4,2,49709.68,0,0,1,4,5,42.34,62.0,995,80000
2014,11,1,44117.341,1,1,1,1,5,50.9,84.8,1461,335000
2014,8,3,47305.595601,1,0,0,1,5,31.1,241.4,2967,1850000
2014,8,3,40389.115,1,0,0,1,7,28.39,241.4,2967,3000000
2013,9,3,49709.68,1,0,1,1,5,51.91,73.9,1199,350000
2005,1,1,49709.68,0,0,0,2,5,21.17,218.0,2997,285000
2012,8,3,43495.97,1,0,0,1,7,28.39,241.4,2967,1850000
2018,1,1,12427.42,0,0,1,1,5,45.87,88.76,1199,600000
2018,9,3,11806.049,0,0,1,1,5,44.17,75.0,999,565000
2016,3,2,31068.55,1,0,1,1,5,53.56,98.59,1498,650000
2010,4,2,43495.97,0,0,1,2,5,42.34,62.0,995,90000
2015,4,2,14602.2185,0,0,1,1,5,43.75,76.8,1199,250000
2017,1,1,50952.422,1,0,1,1,5,60.21,97.9,1498,975000
2014,2,1,62137.1,1,0,1,2,8,30.55,100.6,2494,900000
2016,1,1,52816.535,1,0,1,1,5,60.69,98.6,1498,450000
2009,1,1,42626.0506,0,0,1,3,5,39.99,118.0,1497,250000
2012,1,1,24854.84,0,0,1,2,5,39.52,116.3,1497,560000
2011,4,2,37282.26,0,0,1,2,5,34.08,92.7,1399,130000
2017,3,2,8388.5085,0,0,1,1,5,39.99,121.36,1497,680000
2013,14,3,32311.292,1,0,1,1,5,47.75,75.0,1248,280000
2017,3,2,18641.13,0,0,1,2,5,39.99,121.36,1497,604000
2011,2,1,74564.52,1,0,1,2,8,30.11,102.0,2494,700000
2011,9,3,41010.486,1,0,1,2,5,48.22,105.0,1598,330000
2003,3,2,51573.793,0,0,1,2,5,32.46,70.0,1299,110000
2011,9,3,65865.326,1,0,0,2,5,39.89,138.1,1968,550000
2008,4,2,37282.26,0,0,1,4,5,35.89,74.9,1150,150000
2015,4,2,31068.55,0,0,1,1,5,42.81,82.4,1199,350000
2013,3,2,43495.97,1,0,1,1,5,47.04,68.1,1399,229999
2011,4,2,42153.80864,0,0,1,1,5,42.34,62.0,995,130000
2018,9,3,9320.565,0,0,1,1,5,38.1,74.0,1199,600000
2009,3,2,86991.94,1,0,1,2,5,32.46,68.0,1399,140000
2012,4,2,79535.488,0,0,1,3,5,43.75,79.4,1199,141000
2019,1,1,932.0565,0,0,0,1,5,42.81,88.7,1199,840000
2017,9,3,45981.454,1,0,1,1,5,52.38,108.6,1498,900000
2017,1,1,15534.275,0,0,1,1,5,43.99,88.7,1199,650000
2016,1,1,38472.185465,1,0,1,1,5,64.21,98.6,1498,650000
2016,9,3,43495.97,1,0,1,1,5,47.37,88.0,1498,550000
2014,4,2,55923.39,1,0,1,2,5,59.84,56.3,936,185000
2010,3,2,74564.52,0,0,1,3,5,36.69,70.0,1196,229999
2016,2,1,40389.115,1,0,1,1,8,30.55,100.6,2494,1000000
2014,1,1,20525.748243000002,0,1,1,1,5,45.63,86.8,1198,335000
2011,14,3,18641.13,1,0,1,1,5,47.98,91.2,1248,250000
2007,4,2,57787.503000000004,0,0,1,3,5,42.34,62.0,995,90000
2014,4,2,68350.81,1,0,1,1,10,31.94,72.4,2499,600000
2013,1,1,62137.1,1,0,1,1,5,60.69,98.6,1498,310000
2019,3,2,10563.307,1,0,1,1,5,57.39,98.63,1498,725000
2010,4,2,31068.55,0,0,1,1,5,42.34,62.0,995,130000
2016,3,2,42631.642939,1,1,1,1,5,53.39,89.84,1498,515000
2018,3,2,20728.936560000002,1,1,1,1,5,53.56,98.59,1498,925000
2019,11,1,8896.168607,0,1,1,1,5,33.47,104.55,1498,860000
2012,3,2,54206.541927,1,1,1,2,5,47.04,68.05,1399,225000
2017,3,2,39121.51816,1,1,1,1,5,60.76,99.0,1498,500000
2012,3,2,101730.86012,1,1,1,1,5,43.51,68.0,1399,195000
2018,3,2,12866.107926,1,1,1,1,5,55.98,98.63,1499,650000
2015,3,2,62498.116551,1,1,1,1,5,60.76,99.0,1498,415000
2017,3,2,9320.565,0,0,1,1,5,42.71,86.8,1196,500000
2015,2,1,6213.71,0,0,1,1,5,42.71,78.8,1197,600000
2011,4,2,48735.370272,1,0,1,1,5,38.86,123.7,1991,415000
2018,3,2,49709.68,1,0,1,1,5,61.39,99.23,1498,530000
2006,2,1,167770.17,1,0,1,3,8,30.11,102.0,2494,425000
2012,1,1,31068.55,0,0,1,2,5,45.63,86.8,1198,310000
2013,2,1,4473.8712000000005,1,0,1,1,8,30.55,100.6,2494,1050000
2014,1,1,60272.987,1,0,1,1,5,61.16,98.6,1498,580000
2013,4,2,15534.275,0,0,1,1,5,42.81,84.8,1199,245000
2012,4,2,31068.55,1,0,0,2,7,28.51,184.0,2231,700000
2015,1,1,73011.0925,0,0,1,2,5,40.93,117.3,1497,630000
2017,3,2,15534.275,0,0,1,1,5,42.62,86.8,1196,570000
2009,3,2,43495.97,0,0,1,2,5,33.4,92.0,1597,180000
2006,1,1,43495.97,0,0,1,2,5,41.63,78.0,1497,270000
2012,3,2,37282.26,1,0,1,2,5,55.28,88.7,1498,280000
2008,4,2,43495.97,0,0,1,1,5,42.34,62.0,995,45000
2008,3,2,68350.81,1,0,1,2,5,41.63,68.0,1399,90000
2012,4,2,35023.576415,1,1,1,1,5,59.84,56.3,936,175000
2011,4,2,30797.010873,0,1,1,1,5,38.1,62.1,995,160000
2014,3,2,68350.81,0,0,1,2,5,33.14,99.6,1596,450000
2012,2,1,74564.52,1,0,1,1,8,30.11,102.0,2494,750000
2007,4,2,18641.13,0,0,1,2,5,34.58,76.0,1150,65000
2012,3,2,68350.81,1,0,0,1,7,26.81,153.86,2953,500000
2015,2,1,42253.228,1,0,1,1,7,30.55,100.6,2494,900000
2012,4,2,37282.26,1,0,1,2,5,59.84,57.6,936,120000
2010,3,2,74564.52,1,0,1,1,5,47.04,68.0,1399,200000
2014,2,1,19262.501,1,0,1,1,5,55.49,67.06,1364,550000
2012,2,1,74564.52,1,0,1,2,5,55.49,67.1,1364,278000
2014,14,3,24478.910545,1,0,1,1,5,49.87,75.0,1248,320000
2019,1,1,12427.42,0,0,0,1,5,40.93,117.6,1497,1300000
2018,1,1,24854.84,1,0,1,1,5,60.69,98.6,1498,825000
2004,2,1,74564.52,0,0,1,2,5,31.52,125.0,1794,170000
2014,2,1,49709.68,1,0,1,2,7,29.52,168.5,2982,1700000
2016,4,2,31068.55,0,0,1,1,5,43.75,76.8,1199,210000
2012,4,2,39767.744,1,0,1,1,5,38.86,123.7,1991,400000
2012,2,1,52816.535,1,0,1,1,5,50.41,87.2,1364,600000
2012,4,2,60894.358,1,0,1,1,5,59.84,57.6,936,155000
2015,2,1,24854.84,1,0,1,1,5,55.49,67.04,1364,550000
2014,1,1,55923.39,1,0,1,1,5,61.16,98.6,1498,600000
2014,1,1,55923.39,1,0,1,1,5,61.16,98.6,1498,625000
2010,4,2,43495.97,0,0,1,1,5,37.63,63.0,995,125000
2009,4,2,142915.33,1,0,1,2,9,31.94,72.4,2499,305000
2010,4,2,24854.84,0,0,1,2,5,43.75,79.4,1199,120000
2014,4,2,43495.97,1,0,1,3,5,59.84,56.3,936,160000
2014,2,1,37282.26,1,0,1,2,7,30.55,100.6,2494,1019999
2005,2,1,74564.52,1,0,1,1,8,30.11,102.0,2494,245000
2012,11,1,55923.39,1,0,1,1,5,50.9,84.8,1461,300000
2007,1,1,135746.572773,0,0,0,1,5,30.34,130.0,1799,175000
2012,2,1,95069.763,1,0,1,1,8,30.11,102.0,2494,960000
2015,1,1,31068.55,0,0,1,1,5,42.34,86.7,1198,390000
2014,4,2,21747.985,0,0,1,1,5,42.81,82.4,1199,310000
2013,4,2,43495.97,1,0,1,1,5,51.98,76.9,1248,200000
2018,9,3,32932.663,1,0,1,1,5,47.37,88.0,1498,650000
2018,1,1,37282.26,1,0,1,1,5,60.21,97.9,1498,1031000
2012,9,3,55923.39,1,0,1,1,5,48.31,103.6,1598,375000
2011,3,2,74564.52,1,0,1,2,5,41.87,68.0,1399,275000
2007,4,2,24854.84,0,0,1,2,5,42.34,62.0,995,72000
2015,2,1,77671.375,1,0,1,1,5,55.49,67.05,1364,500000
2009,14,3,34175.405,0,0,1,1,5,34.34,88.7,1368,150000
2020,2,1,24854.84,0,0,0,1,8,25.29,163.7,2694,1500000
2011,4,2,55923.39,0,0,1,1,5,43.75,79.4,1199,120000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2015,2,1,18641.13,1,0,0,2,7,29.52,168.5,2982,1850000
2014,3,2,49909.761462,1,1,1,1,5,41.87,67.0,1399,325000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2015,1,1,74564.52,1,0,1,2,7,57.63,98.6,1498,550000
2015,2,1,49709.68,1,0,0,2,7,29.52,168.5,2982,1500000
2017,6,3,6213.71,1,0,0,2,5,42.1,136.0,2143,2199000
2008,3,2,37282.26,0,0,1,2,5,35.99,99.6,1596,285000
2007,2,1,130487.91,1,0,1,2,8,30.11,102.0,2494,465000
2009,10,3,37282.26,1,0,0,2,5,37.8,181.0,1995,1100000
2011,9,3,68350.81,1,0,1,2,5,48.31,103.6,1598,350000
2019,9,3,3106.855,0,0,1,1,5,44.17,75.0,999,570000
2015,3,2,18641.13,0,0,0,1,5,36.76,110.4,1499,775000
2010,4,2,62137.1,0,0,1,2,5,42.34,62.0,995,140000
2012,2,1,77671.375,1,0,1,2,5,50.41,87.2,1364,415000
2015,1,1,15534.275,1,0,1,1,5,60.69,98.6,1498,600000
2018,1,1,57787.503000000004,1,0,1,1,5,64.45,98.63,1498,670000
2013,3,2,74564.52,0,0,1,1,5,33.14,99.6,1596,350000
2012,3,2,93205.65,1,0,1,1,5,47.04,68.0,1399,325000
2015,1,1,57787.503000000004,1,0,1,2,7,57.63,98.6,1498,570000
2017,5,2,18641.13,1,0,1,1,5,40.22,170.0,1956,1325000
2017,1,1,7456.452,0,0,1,1,5,41.16,88.7,1199,819999
2008,1,1,68350.81,0,0,1,2,5,41.63,78.0,1497,215000
2007,2,1,161556.46,1,0,1,3,7,30.11,102.0,2494,600000
2011,4,2,37282.26,0,0,1,1,5,43.75,79.4,1199,120000
2018,1,1,31068.55,1,0,1,1,5,60.69,98.6,1498,560000
2017,3,2,43495.97,1,0,1,2,5,60.76,99.0,1498,550000
2015,2,1,56544.761,1,1,0,2,7,29.52,168.5,2982,1650000
2018,10,3,16777.017,1,1,0,1,5,40.1,184.0,1995,2850000
2018,8,3,16155.646,1,1,0,1,5,37.0,174.33,1968,2800000
2018,10,3,10625.4441,1,1,0,1,5,52.88,187.74,1995,3900000
2013,4,2,34796.776,1,1,1,1,5,51.98,74.0,1248,246000
2013,1,1,37282.26,1,1,1,2,5,58.1,98.63,1498,325000
2019,5,2,13670.162,0,1,0,1,5,37.63,160.0,1368,1450000
2017,1,1,18641.13,0,1,0,1,7,36.22,117.3,1497,850000
2015,9,3,26719.574371,1,1,1,1,5,52.38,108.6,1498,560000
2014,2,1,59030.245,1,1,1,1,8,30.55,100.6,2494,680000
2013,3,2,38525.002,1,1,1,1,7,30.81,141.0,2499,700000
2014,14,3,114953.635,1,0,1,3,5,45.87,75.0,1248,280000
2011,9,3,83263.714,1,0,1,2,5,51.91,73.9,1199,325000
2014,3,2,74564.52,1,0,1,3,5,47.04,68.05,1399,320000
2013,1,1,31068.55,1,0,1,1,5,60.69,98.6,1498,484999
2010,2,1,149129.04,1,0,1,1,7,27.05,171.0,2982,900000
2017,5,2,27961.695,1,0,1,1,5,38.34,170.0,1956,1800000
2015,2,1,74564.52,1,0,1,1,7,30.55,100.6,2494,1050000
2013,9,3,74564.52,1,0,1,2,5,48.31,103.6,1598,400000
2003,3,2,24854.84,0,0,1,3,5,33.4,92.0,1597,150000
2018,2,1,28583.066,1,0,1,1,7,33.49,174.5,2755,2900000
2015,2,1,85127.827,1,0,1,1,7,30.55,100.6,2494,1100000
2017,11,1,55923.39,1,0,1,2,5,53.42,84.8,1461,580000
2011,4,2,51263.1075,1,0,1,2,5,38.86,123.7,1991,290000
2014,1,1,68350.81,1,0,1,1,5,60.69,98.6,1498,530000
2009,1,1,68350.81,0,0,1,3,5,39.99,118.0,1497,290000
2008,7,1,62137.1,1,0,1,1,5,34.81,68.0,1998,160000
2012,9,3,55923.39,1,0,1,1,5,48.31,103.6,1598,361000
2016,1,1,18641.13,0,0,1,1,5,43.99,88.7,1199,484999
2017,1,1,26718.953,0,1,1,1,7,36.22,117.3,1497,700000
2014,3,2,33554.034,1,1,1,1,5,54.1,98.96,1498,484999
2015,3,2,31068.55,0,0,1,1,5,37.28,110.4,1499,680000
2014,1,1,34796.776,1,0,1,2,5,59.04,98.6,1498,630000
2018,3,2,50952.422,1,0,1,1,5,60.76,99.0,1498,640000
2010,3,2,53169.473728,1,1,1,1,5,43.51,68.0,1399,185000
2014,6,3,26097.582,0,0,0,1,5,27.99,120.7,1595,1250000
2014,4,2,31068.55,1,0,1,4,8,42.81,73.8,1248,350000
2016,2,1,15534.275,1,0,1,2,7,32.18,147.8,2393,1670000
2013,1,1,19883.872,0,0,1,1,5,39.52,116.3,1497,500000
2019,1,1,1926.2501,0,0,0,1,5,42.81,88.7,1199,750000
2008,2,1,74564.52,1,0,1,2,8,30.11,102.0,2494,370000
2014,3,2,80778.23,1,0,1,2,5,53.56,98.59,1498,500000
2010,3,2,29204.437,0,0,1,1,5,35.99,101.0,1596,250000
2017,3,2,37282.26,0,0,1,1,5,42.71,86.8,1196,408000
2011,9,3,10563.307,0,0,1,1,5,38.74,73.9,1198,300000
2009,1,1,21747.985,0,0,1,1,5,39.99,118.0,1497,350000
2011,2,1,74564.52,1,0,1,3,7,27.05,171.0,2982,975000
2014,2,1,186411.3,1,0,1,2,7,30.55,100.6,2494,700000
2010,2,1,74564.52,1,0,1,1,7,30.11,102.0,2494,451999
2012,9,3,37282.26,0,0,1,3,5,35.38,103.6,1598,360000
2010,3,2,49709.68,0,0,1,2,5,36.69,70.0,1196,250000
2016,1,1,42253.228,1,0,1,1,5,64.21,98.6,1498,425000
2014,11,1,62137.1,0,0,1,1,5,45.84,67.04,1198,225000
2013,14,3,29204.437,1,0,1,1,5,47.75,75.0,1248,250000
2013,4,2,47224.196,1,0,1,1,5,59.84,57.6,936,175000
2008,1,1,68350.81,0,0,1,2,5,41.63,78.0,1497,105000
2017,9,3,31068.55,1,0,1,1,5,50.95,108.62,1498,550000
2010,2,1,130487.91,1,0,1,2,8,30.11,102.0,2494,450000
2011,9,3,74564.52,1,0,1,2,5,35.28,105.0,1896,350000
2012,1,1,68350.81,0,0,1,1,5,45.63,86.8,1198,229999
2011,9,3,74564.52,1,0,1,2,5,45.47,138.1,1968,425000
2009,3,2,43495.97,1,0,1,3,7,25.64,143.0,2499,480000
2017,1,1,16155.646,0,0,0,1,5,42.34,117.3,1497,1100000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2017,3,2,27961.695,1,0,1,1,5,54.1,98.96,1498,725000
2007,6,3,26097.582,0,1,0,1,5,27.61,186.0,1796,400000
2015,9,3,21223.547876,0,1,1,1,5,38.74,74.0,1198,449000
2015,8,3,22990.727,1,1,0,1,5,42.93,187.74,1968,1750000
2017,2,1,60894.358,1,1,0,1,7,26.72,171.5,2755,1390000
2011,9,3,74564.52,1,0,1,1,5,51.91,73.9,1199,330000
2017,11,1,16155.646,0,0,0,1,5,45.49,76.0,1198,500000
2018,2,1,55923.39,1,0,1,1,5,55.49,67.05,1364,730000
2015,1,1,55923.39,1,0,1,2,5,60.69,98.6,1498,455000
2015,1,1,62137.1,1,0,1,1,5,61.16,98.6,1498,500000
2011,3,2,15534.275,0,0,1,1,5,36.69,70.0,1196,250000
2011,3,2,43495.97,1,0,1,2,5,47.04,68.0,1399,204999
2011,10,3,26436.229195,1,1,0,1,5,46.15,190.0,1998,1075000
2013,3,2,29825.808,1,1,1,2,5,51.04,98.96,1498,475000
2014,1,1,16921.796443,1,1,1,1,5,64.45,98.63,1498,465000
2005,2,1,124274.2,1,0,1,2,8,30.11,102.0,2494,310000
2015,3,2,57570.644521,1,1,1,1,5,51.04,98.96,1498,599000
2019,3,2,4349.597,0,0,1,1,5,45.63,94.93,1194,675000
